City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
lebu,20,ET,1551193200,33,8.96,38.73,73.4,20.8
bluff,0,AU,1551199022,70,-23.58,149.07,69.31,9.08
enshi,92,CN,1551198866,97,30.29,109.48,39.39,2.82
faanui,36,PF,1551198915,100,-16.48,-151.75,81.96,4.79
vostok,0,RU,1551199023,59,46.45,135.83,4.06,3.56
vardo,1,US,1551199022,25,39.62,-77.74,48.99,10.29
saskylakh,0,RU,1551199023,0,71.97,114.09,-28.25,5.23
georgetown,75,GY,1551196800,62,6.8,-58.16,86.0,16.11
saint george,20,GR,1551198000,57,39.45,22.34,53.6,4.7
kutum,100,SD,1551198885,35,14.2,24.66,82.9,3.89
yellowknife,75,CA,1551198880,78,62.45,-114.38,12.2,8.05
busselton,36,AU,1551198956,46,-33.64,115.35,70.0,18.54
kapaa,20,US,1551198642,63,22.08,-159.32,69.8,6.93
shimoda,20,JP,1551198911,41,34.7,138.93,48.99,3.0
klaksvik,12,FO,1551198000,81,62.23,-6.59,46.4,12.75
umm lajj,64,SA,1551199025,96,25.02,37.27,71.52,6.58
general roca,0,AR,1551193200,24,-39.03,-67.58,71.6,5.82
oktyabrskoye,0,RU,1551198919,73,56.73,85.44,21.99,6.71
amot,0,NO,1551198625,80,59.57,7.99,39.2,2.71
sabang,8,PH,1551199026,93,13.72,123.58,72.55,10.42
sitka,80,US,1551199026,66,37.17,-99.65,28.36,11.27
albany,20,US,1551198725,41,42.65,-73.75,26.01,24.16
angoche,0,MZ,1551198930,100,-16.23,39.91,82.59,7.02
maniitsoq,0,GL,1551199027,76,65.42,-52.9,17.38,4.05
san rafael,0,AR,1551199027,30,-34.61,-68.33,74.71,8.03
meulaboh,32,ID,1551199028,100,4.14,96.13,81.01,0.58
lapeer,90,US,1551199011,57,43.05,-83.32,19.99,5.82
north bend,1,US,1551198922,100,43.41,-124.22,37.0,4.7
hermanus,12,ZA,1551198649,67,-34.42,19.24,68.0,4.0
imbituba,75,BR,1551196800,73,-28.24,-48.67,77.0,12.75
punta arenas,20,CL,1551198915,41,-53.16,-70.91,57.2,18.34
castro,20,CL,1551196800,59,-42.48,-73.76,62.6,18.34
yeroham,48,IL,1551199029,62,30.99,34.93,52.0,8.93
helsingborg,0,SE,1551199025,93,56.05,12.69,52.0,2.24
madang,64,PG,1551199029,100,-5.21,145.81,74.98,3.78
avarua,0,CK,1551198600,94,-21.21,-159.78,69.8,2.24
new norfolk,0,AU,1551198976,81,-42.78,147.06,48.2,9.17
awjilah,20,LY,1551199030,48,29.14,21.3,58.96,11.16
mataura,92,NZ,1551198608,69,-46.19,168.86,60.01,7.0
port elizabeth,1,US,1551199024,37,39.31,-74.98,43.0,10.29
upernavik,32,GL,1551199030,100,72.79,-56.15,-0.98,12.62
puerto del rosario,0,ES,1551196800,60,28.5,-13.86,71.6,12.75
sibut,8,CF,1551199030,75,5.73,19.09,80.2,3.49
panguna,0,PG,1551199030,84,-6.32,155.48,73.86,1.81
